+RX 10,4a4a4a4a520103520502
+RX 10,4a4a4a4a520103520503
+RX 10,4a4a4a4a520103520504
+RX 10,4a4a4a4a520103520505
+RX 10,4a4a4a4a520103520500
+RX 14,52010352180103c241be52d84860
+RX 10,180103c2520103520501
2021-03-12 00:09:37.742762: +RX 64,180103c252010352491f20fd00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003203,-45,10
2021-03-12 00:09:39.581921: +RX 16,52010352180103c24a526ca34a603203,-76,9
2021-03-12 00:09:44.187422: +RX 60,180103c2520103524d20300b0100be890000fd89000032bb000013aa0000111ed0003800d3fc900f0000000000004a890000b658000011c67b410100,-45,9
2021-03-12 00:09:46.750360: +RX 22,52010352180103c2426e73a34a60100e000058022d02,-76,9
2021-03-12 00:09:51.462322: +RX 64,180103c2520103524921300b01000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003203,-45,12
2021-03-12 00:09:53.178453: +RX 16,52010352180103c24a527aa34a603203,-76,9
2021-03-12 00:09:57.979156: +RX 60,180103c2520103524d224019010098890000c689000031bb000014aa0000111ed1003800d3fc900f000000000000228900008358000010c65e410100,-47,9
2021-03-12 00:10:00.430179: +RX 22,52010352180103c2426e81a34a60100e000058022d02,-77,9
2021-03-12 00:10:07.027780: +RX 16,52010352180103c24a5288a34a603203,-77,9
2021-03-12 00:10:11.946025: +RX 60,180103c2520103524d24512701003b8900008789000033bb000013aa0000111ed1003800d3fc900f000000000000e08800005958000007c650410100,-47,12
2021-03-12 00:10:14.200659: +RX 22,52010352180103c2426e8ea34a60100e000058022d02,-77,9
2021-03-12 00:10:19.116692: +RX 64,180103c2520103524925512701003465ab4011790c41ae8d9a4154e0b341a042e441d5dae64134a58f41a76d9041ddb352416a234d4129c7274115d129413203,-47,10
2021-03-12 00:10:20.954490: +RX 16,52010352180103c24a5295a34a603203,-77,9
2021-03-12 00:10:25.666346: +RX 60,180103c2520103524d266035010096890000068a000030be000017aa0000111ed100c5ff2300f40f000000000000a4880000bb5d000096c537410100,-45,13
2021-03-12 00:10:28.126281: +RX 22,52010352180103c2426e9ca34a60100e000058022d02,-76,9
2021-03-12 01:10:01.335627: +RX 64,180103c252010352492760350100be5f0d417309be41acfe02424b800f429ba72c428a6c3542fae0f541b12d0642c4f9b441dd219e41e6a98341f43ca8413203,-44,10
2021-03-12 01:10:15.262340: +RX 64,180103c252010352492860350100be5f0d417309be41acfe02424b800f429ba72c428a6c3542fae0f541b12d0642c4f9b441dd219e41e6a98341f43ca8413203,-44,10
2021-03-12 01:10:16.900192: +RX 16,52010352180103c24a5294b14a603203,-77,10
2021-03-12 01:10:21.816500: +RX 60,180103c2520103524d2970430100f6850000bd830000046d000016aa0000111ed500140ac3f4e6038101810181010a8600003b5c0000e8c500410100,-45,12
2021-03-12 01:10:24.273647: +RX 22,52010352180103c2426ea8b14a60100e000058022d02,-76,9
2021-03-12 02:10:00.972468: +RX 64,180103c252010352492a7043010000000000000000007785583fed8a9f3fec8f9d3f3212813f00000000ddd0863a1bf96b3a54cc163f00000000000000003203,-48,10
2021-03-12 02:10:02.811488: +RX 16,52010352180103c24a52a3bf4a603203,-76,10
2021-03-12 02:10:07.522357: +RX 60,180103c2520103524d2bfe0000005b8a00007d8a0000052e000036aa00001127e3005cff6200f40f00000000000032890000416400008cc5cd400100,-47,9
2021-03-12 02:10:09.979375: +RX 22,52010352180103c2426eaabf4a60100e000058022d02,-75,9
2021-03-12 02:10:14.691340: +RX 64,180103c252010352492cfe0000008b6d2344be313144c7862344f60a3444ee8041446ba25644cb919444c01dbd44e82ca644b314a744aad99c44fcea9a443203,-47,11
2021-03-12 02:10:16.534112: +RX 16,52010352180103c24a52b1bf4a603203,-75,9
2021-03-12 02:10:21.449617: +RX 60,180103c2520103524d2d00010000bf870000fd870000e79e00007faa0000112de5007eff2400fb0f000000000000a78700003a5c00005cc5a3130100,-47,9
2021-03-12 02:10:23.702538: +RX 22,52010352180103c2426eb8bf4a60100e000058022d02,-76,9
2021-03-12 03:10:00.406685: +RX 64,180103c252010352492e00010000b95cd9432456b643dc9e9a43623a8a43aa4da243c419a3432ac967448e5f6744a7cb6244df1f4744fc09704452c149443203,-47,9
2021-03-12 03:10:02.240081: +RX 16,52010352180103c24a52b3cd4a603203,-75,10
2021-03-12 03:10:07.155934: +RX 60,180103c2520103524d2ffe0000006f840000c5860000f13c00007faa00001127ed007fff0f00fc0f000000000000268500004859000027c59d130100,-48,10
2021-03-12 03:10:09.409280: +RX 22,52010352180103c2426eb9cd4a60100e000058022d02,-75,9
2021-03-12 03:10:16.167641: +RX 16,52010352180103c24a52c1cd4a603203,-75,9
2021-03-12 03:10:20.792501: +RX 60,180103c2520103524d31100e0000ef8700008f880000fe9900007faa00001125dd0084ff0e00fe0f00000000000028870000375b000043c590130100,-48,9
2021-03-12 03:10:23.335921: +RX 22,52010352180103c2426ec7cd4a60100e000058022d02,-75,9
2021-03-12 04:09:59.830883: +RX 64,180103c2520103524932100e0000a77dbe42d401a2427e7f8842c6e38242753a91424fb08c42f79a2143557519437eaf304301e30d4322914943452ff3423203,-48,10
2021-03-12 04:10:01.668974: +RX 16,52010352180103c24a52c2db4a603203,-75,10
2021-03-12 04:10:06.379768: +RX 60,180103c2520103524d33201c00009188000006890000383900007faa00001126d80085ff1000fe0f0000000000005b880000f85c000054c57f130100,-47,9
2021-03-12 04:10:08.837670: +RX 22,52010352180103c2426ec9db4a60100e000058022d02,-75,9
2021-03-12 04:10:13.548732: +RX 64,180103c2520103524934201c00005f607c4211f92d42d87c2f42aa411642bae9324250fb2642afeec542b0d5b9423bf3f6425a3ac0422077f842e7f389423203,-47,11
2021-03-12 04:10:15.392038: +RX 16,52010352180103c24a52d0db4a603203,-75,8
2021-03-12 04:10:20.308040: +RX 60,180103c2520103524d35000100008a8c0000c28d0000c52c00007faa00001124dd008cff1200fb0f000000000000838d00007e62000082c569130100,-48,9
2021-03-12 04:10:22.563352: +RX 22,52010352180103c2426ed6db4a60100e000058022d02,-75,10
2021-03-12 04:10:27.477231: +RX 64,180103c252010352493600010000d1d489424af34b42330b3042532a264242e7534229b75e42054ed94264a0d142ceeffe42a25bc742e40a0043138fa1423203,-47,10
2021-03-12 04:10:29.322643: +RX 16,52010352180103c24a52dedb4a603203,-75,9
2021-03-12 05:09:58.847847: +RX 60,180103c2520103524d37f0de4860bc8d0000328e00006ca500007daa00001125c2008dff0e00fc0f000000000000838c0000b85e00009bc55e130100,-47,10
2021-03-12 05:10:01.302959: +RX 22,52010352180103c2426ed1e94a60100e000058022d02,-74,10
